TotalSuspiciousRecords,DomainFetched,AttackCoverage,AttackRuntime (msec),AttackSpeed (domain per msec)
11,21,0.0846774193548387,14,1.5
11,85,0.34274193548387094,76,1.118421052631579
11,243,0.9798387096774194,107,2.2710280373831777
11,37,0.14919354838709678,23,1.608695652173913
11,54,0.21774193548387097,52,1.0384615384615385
11,18,0.07258064516129033,10,1.8
11,165,0.6653225806451613,107,1.5420560747663552
11,19,0.07661290322580645,9,2.111111111111111
11,32,0.12903225806451613,16,2.0
11,71,0.2862903225806452,27,2.6296296296296298
11,36,0.14516129032258066,23,1.565217391304348
11,105,0.42338709677419356,51,2.0588235294117645
11,22,0.08870967741935484,11,2.0
11,47,0.18951612903225806,34,1.3823529411764706
11,25,0.10080645161290322,31,0.8064516129032258
11,75,0.3024193548387097,102,0.7352941176470589
11,110,0.4435483870967742,81,1.3580246913580247
11,6,0.024193548387096774,3,2.0
12,102,0.4112903225806452,65,1.5692307692307692
12,91,0.36693548387096775,81,1.123456790123457
12,18,0.07258064516129033,8,2.25
12,53,0.21370967741935484,65,0.8153846153846154
12,190,0.7661290322580645,109,1.7431192660550459
12,81,0.32661290322580644,63,1.2857142857142858
12,75,0.3024193548387097,75,1.0
12,33,0.13306451612903225,38,0.868421052631579
12,53,0.21370967741935484,50,1.06
12,92,0.3709677419354839,100,0.92
12,39,0.15725806451612903,46,0.8478260869565217
12,102,0.4112903225806452,81,1.2592592592592593
12,123,0.4959677419354839,87,1.4137931034482758
12,92,0.3709677419354839,68,1.3529411764705883
12,13,0.05241935483870968,16,0.8125
12,59,0.23790322580645162,35,1.6857142857142857
12,11,0.04435483870967742,16,0.6875
12,6,0.024193548387096774,4,1.5
12,174,0.7016129032258065,95,1.831578947368421
12,63,0.2540322580645161,43,1.4651162790697674
12,59,0.23790322580645162,59,1.0
12,111,0.4475806451612903,54,2.0555555555555554
12,155,0.625,73,2.1232876712328768
12,36,0.14516129032258066,26,1.3846153846153846
12,20,0.08064516129032258,10,2.0
12,66,0.2661290322580645,30,2.2
12,73,0.29435483870967744,33,2.212121212121212
12,54,0.21774193548387097,53,1.0188679245283019
12,6,0.024193548387096774,4,1.5
12,101,0.40725806451612906,87,1.160919540229885
12,8,0.03225806451612903,7,1.1428571428571428
12,47,0.18951612903225806,54,0.8703703703703703
12,13,0.05241935483870968,18,0.7222222222222222
12,29,0.11693548387096774,16,1.8125
12,72,0.2903225806451613,28,2.5714285714285716
12,6,0.024193548387096774,4,1.5
12,24,0.0967741935483871,30,0.8
12,243,0.9798387096774194,154,1.577922077922078
12,71,0.2862903225806452,64,1.109375
12,6,0.024193548387096774,2,3.0
12,28,0.11290322580645161,16,1.75
12,37,0.14919354838709678,17,2.176470588235294
12,9,0.036290322580645164,13,0.6923076923076923
12,14,0.056451612903225805,18,0.7777777777777778
12,97,0.3911290322580645,90,1.0777777777777777
13,44,0.1774193548387097,21,2.0952380952380953
13,126,0.5080645161290323,60,2.1
13,243,0.9798387096774194,122,1.9918032786885247
13,48,0.1935483870967742,50,0.96
13,74,0.29838709677419356,91,0.8131868131868132
13,16,0.06451612903225806,13,1.2307692307692308
13,90,0.3629032258064516,82,1.0975609756097562
13,105,0.42338709677419356,76,1.381578947368421
13,78,0.31451612903225806,36,2.1666666666666665
13,7,0.028225806451612902,8,0.875
13,39,0.15725806451612903,22,1.7727272727272727
13,7,0.028225806451612902,4,1.75
13,188,0.7580645161290323,123,1.5284552845528456
13,182,0.7338709677419355,107,1.7009345794392523
13,6,0.024193548387096774,7,0.8571428571428571
13,179,0.7217741935483871,89,2.0112359550561796
13,44,0.1774193548387097,44,1.0
13,120,0.4838709677419355,95,1.263157894736842
13,76,0.3064516129032258,55,1.3818181818181818
13,28,0.11290322580645161,15,1.8666666666666667
13,133,0.5362903225806451,63,2.111111111111111
13,243,0.9798387096774194,146,1.6643835616438356
13,243,0.9798387096774194,151,1.609271523178808
13,228,0.9193548387096774,145,1.5724137931034483
13,69,0.2782258064516129,26,2.6538461538461537
13,25,0.10080645161290322,15,1.6666666666666667
13,243,0.9798387096774194,142,1.7112676056338028
13,62,0.25,56,1.1071428571428572
13,14,0.056451612903225805,11,1.2727272727272727
13,191,0.7701612903225806,130,1.4692307692307693
13,21,0.0846774193548387,29,0.7241379310344828
13,228,0.9193548387096774,119,1.915966386554622
13,243,0.9798387096774194,174,1.396551724137931
13,72,0.2903225806451613,65,1.1076923076923078
13,95,0.38306451612903225,38,2.5
13,64,0.25806451612903225,51,1.2549019607843137
13,150,0.6048387096774194,95,1.5789473684210527
13,133,0.5362903225806451,70,1.9
13,107,0.4314516129032258,52,2.0576923076923075
13,243,0.9798387096774194,195,1.2461538461538462
13,243,0.9798387096774194,129,1.8837209302325582
13,118,0.47580645161290325,47,2.5106382978723403
13,33,0.13306451612903225,37,0.8918918918918919
13,118,0.47580645161290325,61,1.9344262295081966
13,200,0.8064516129032258,115,1.7391304347826086
13,231,0.9314516129032258,138,1.673913043478261
13,54,0.21774193548387097,28,1.9285714285714286
13,24,0.0967741935483871,9,2.6666666666666665
13,208,0.8387096774193549,87,2.3908045977011496
13,74,0.29838709677419356,82,0.9024390243902439
13,190,0.7661290322580645,106,1.7924528301886793
13,79,0.3185483870967742,69,1.144927536231884
13,200,0.8064516129032258,85,2.3529411764705883
13,21,0.0846774193548387,29,0.7241379310344828
13,119,0.4798387096774194,63,1.8888888888888888
13,82,0.33064516129032256,38,2.1578947368421053
13,220,0.8870967741935484,93,2.3655913978494625
13,215,0.8669354838709677,147,1.4625850340136055
13,243,0.9798387096774194,155,1.5677419354838709
13,48,0.1935483870967742,35,1.3714285714285714
13,35,0.14112903225806453,16,2.1875
13,151,0.6088709677419355,65,2.3230769230769233
13,19,0.07661290322580645,9,2.111111111111111
13,80,0.3225806451612903,63,1.2698412698412698
14,32,0.12903225806451613,42,0.7619047619047619
14,243,0.9798387096774194,114,2.1315789473684212
14,142,0.5725806451612904,69,2.0579710144927534
14,27,0.10887096774193548,17,1.588235294117647
14,123,0.4959677419354839,61,2.0163934426229506
14,15,0.06048387096774194,13,1.1538461538461537
14,127,0.5120967741935484,47,2.702127659574468
14,243,0.9798387096774194,179,1.3575418994413408
14,99,0.39919354838709675,80,1.2375
14,21,0.0846774193548387,27,0.7777777777777778
14,29,0.11693548387096774,17,1.7058823529411764
14,27,0.10887096774193548,30,0.9
14,167,0.6733870967741935,113,1.4778761061946903
14,131,0.5282258064516129,71,1.8450704225352113
14,7,0.028225806451612902,6,1.1666666666666667
14,126,0.5080645161290323,52,2.423076923076923
14,91,0.36693548387096775,70,1.3
14,32,0.12903225806451613,15,2.1333333333333333
14,179,0.7217741935483871,71,2.5211267605633805
14,87,0.35080645161290325,75,1.16
14,163,0.657258064516129,117,1.393162393162393
14,164,0.6612903225806451,99,1.6565656565656566
14,163,0.657258064516129,74,2.2027027027027026
14,21,0.0846774193548387,27,0.7777777777777778
14,31,0.125,14,2.2142857142857144
14,81,0.32661290322580644,40,2.025
14,51,0.2056451612903226,24,2.125
14,163,0.657258064516129,106,1.5377358490566038
14,77,0.31048387096774194,33,2.3333333333333335
14,18,0.07258064516129033,12,1.5
14,61,0.24596774193548387,37,1.6486486486486487
14,138,0.5564516129032258,69,2.0
14,104,0.41935483870967744,71,1.4647887323943662
14,102,0.4112903225806452,83,1.2289156626506024
14,17,0.06854838709677419,11,1.5454545454545454
14,232,0.9354838709677419,141,1.6453900709219857
14,44,0.1774193548387097,44,1.0
14,243,0.9798387096774194,110,2.209090909090909
14,195,0.7862903225806451,125,1.56
14,51,0.2056451612903226,26,1.9615384615384615
14,116,0.46774193548387094,51,2.2745098039215685
14,64,0.25806451612903225,51,1.2549019607843137
14,7,0.028225806451612902,3,2.3333333333333335
14,20,0.08064516129032258,12,1.6666666666666667
14,8,0.03225806451612903,5,1.6
14,13,0.05241935483870968,19,0.6842105263157895
14,77,0.31048387096774194,70,1.1
14,163,0.657258064516129,117,1.393162393162393
14,243,0.9798387096774194,114,2.1315789473684212
14,48,0.1935483870967742,52,0.9230769230769231
14,110,0.4435483870967742,87,1.264367816091954
14,235,0.9475806451612904,112,2.0982142857142856
14,19,0.07661290322580645,24,0.7916666666666666
15,243,0.9798387096774194,114,2.1315789473684212
15,111,0.4475806451612903,47,2.3617021276595747
15,133,0.5362903225806451,60,2.216666666666667
15,231,0.9314516129032258,115,2.008695652173913
15,243,0.9798387096774194,100,2.43
15,26,0.10483870967741936,31,0.8387096774193549
15,243,0.9798387096774194,102,2.3823529411764706
15,243,0.9798387096774194,127,1.9133858267716535
15,95,0.38306451612903225,86,1.1046511627906976
15,213,0.8588709677419355,158,1.3481012658227849
15,133,0.5362903225806451,65,2.046153846153846
15,51,0.2056451612903226,49,1.0408163265306123
15,243,0.9798387096774194,128,1.8984375
15,243,0.9798387096774194,136,1.786764705882353
15,7,0.028225806451612902,9,0.7777777777777778
15,33,0.13306451612903225,43,0.7674418604651163
15,243,0.9798387096774194,162,1.5
15,243,0.9798387096774194,143,1.6993006993006994
15,198,0.7983870967741935,117,1.6923076923076923
15,21,0.0846774193548387,24,0.875
15,237,0.9556451612903226,146,1.6232876712328768
15,243,0.9798387096774194,177,1.3728813559322033
15,243,0.9798387096774194,153,1.588235294117647
15,243,0.9798387096774194,104,2.3365384615384617
15,168,0.6774193548387096,111,1.5135135135135136
15,243,0.9798387096774194,126,1.9285714285714286
15,243,0.9798387096774194,160,1.51875
15,243,0.9798387096774194,166,1.463855421686747
15,243,0.9798387096774194,117,2.076923076923077
15,134,0.5403225806451613,58,2.310344827586207
15,195,0.7862903225806451,111,1.7567567567567568
15,243,0.9798387096774194,110,2.209090909090909
15,106,0.4274193548387097,93,1.1397849462365592
15,18,0.07258064516129033,23,0.782608695652174
15,142,0.5725806451612904,66,2.1515151515151514
15,243,0.9798387096774194,149,1.6308724832214765
15,132,0.532258064516129,66,2.0
15,243,0.9798387096774194,111,2.189189189189189
15,8,0.03225806451612903,6,1.3333333333333333
15,172,0.6935483870967742,120,1.4333333333333333
15,243,0.9798387096774194,168,1.4464285714285714
15,87,0.35080645161290325,47,1.851063829787234
